"기간","날짜","지점","품목","수량","매출원"
2026-01~08-29,2026-05-16,"EM자양점","데친 문어",185,1991426
2026-01~08-29,2026-05-17,"EMF고덕점","데친 문어",1,21002
2026-01~08-29,2026-05-17,"EM자양점","갑오징어무침",6,46835
2026-01~08-29,2026-05-17,"EM자양점","데친 문어",123,1234444
2026-01~08-29,2026-05-18,"EMF고덕점","데친 문어",1,18620
2026-01~08-29,2026-05-21,"EM별내점","갑오징어무침",6,48299
2026-01~08-29,2026-05-21,"EM별내점","데친 문어",50,485415
2026-01~08-29,2026-05-22,"EMF고덕점","데친 문어",1,22943
2026-01~08-29,2026-05-22,"EM별내점","갑오징어무침",7,51226
2026-01~08-29,2026-05-22,"EM별내점","데친 문어",83,731286
2026-01~08-29,2026-05-23,"EMF고덕점","데친 문어",5,87472
2026-01~08-29,2026-05-23,"EM별내점","갑오징어무침",5,45373
2026-01~08-29,2026-05-23,"EM별내점","데친 문어",142,1435524
2026-01~08-29,2026-05-25,"EMF고덕점","데친 문어",3,62815
2026-01~08-29,2026-05-25,"EM별내점","갑오징어무침",4,32200
2026-01~08-29,2026-05-25,"EM별내점","데친 문어",105,1040149
2026-01~08-29,2026-05-26,"EM별내점","갑오징어무침",7,60009
2026-01~08-29,2026-05-26,"EM별내점","데친 문어",44,375935
2026-01~08-29,2026-05-27,"EMF고덕점","데친 문어",1,17911
2026-01~08-29,2026-05-28,"EM별내점","갑오징어무침",4,29272
2026-01~08-29,2026-05-28,"EM별내점","데친 문어",64,734256
2026-01~08-29,2026-05-29,"EMF고덕점","데친 문어",2,39880
2026-01~08-29,2026-05-29,"EM별내점","갑오징어무침",5,38054
2026-01~08-29,2026-05-29,"EM별내점","데친 문어",101,1077212
2026-01~08-29,2026-05-30,"EMF고덕점","데친 문어",5,99345
2026-01~08-29,2026-05-30,"EM별내점","갑오징어무침",11,87671
2026-01~08-29,2026-05-30,"EM별내점","데친 문어",138,1381824
2026-01~08-29,2026-05-31,"EMF고덕점","데친 문어",2,42351
2026-01~08-29,2026-05-31,"EM별내점","갑오징어무침",6,51228
2026-01~08-29,2026-05-31,"EM별내점","데친 문어",103,1010147
2026-01~08-29,2026-06-01,"EMF고덕점","데친 문어",1,15528
2026-01~08-29,2026-06-01,"EM별내점","갑오징어무침",7,51226
2026-01~08-29,2026-06-01,"EM별내점","데친 문어",55,496154
2026-01~08-29,2026-06-02,"EMF고덕점","데친 문어",1,20383
2026-01~08-29,2026-06-02,"EM별내점","갑오징어무침",6,43908
2026-01~08-29,2026-06-02,"EM별내점","데친 문어",72,721683
2026-01~08-29,2026-06-03,"EMF고덕점","데친 문어",7,96600
2026-01~08-29,2026-06-03,"EM별내점","갑오징어무침",4,30736
2026-01~08-29,2026-06-03,"EM별내점","데친 문어",124,1383980
2026-01~08-29,2026-06-04,"EMF고덕점","데친 문어",3,60262
2026-01~08-29,2026-06-04,"EM별내점","갑오징어무침",6,43908
2026-01~08-29,2026-06-04,"EM별내점","데친 문어",66,614103
2026-01~08-29,2026-06-05,"EMF고덕점","데친 문어",1,22500
2026-01~08-29,2026-06-05,"EM별내점","갑오징어무침",6,45372
2026-01~08-29,2026-06-05,"EM별내점","데친 문어",104,1077694
2026-01~08-29,2026-06-06,"EMF고덕점","데친 문어",12,235310
2026-01~08-29,2026-06-06,"EM별내점","갑오징어무침",8,65863
2026-01~08-29,2026-06-06,"EM별내점","데친 문어",153,1551775
2026-01~08-29,2026-06-07,"EMF고덕점","데친 문어",8,114872
2026-01~08-29,2026-06-07,"EM별내점","갑오징어무침",4,32200
2026-01~08-29,2026-06-07,"EM별내점","데친 문어",100,938139
2026-01~08-29,2026-06-08,"EMF고덕점","데친 문어",1,21880
2026-01~08-29,2026-06-09,"EMF고덕점","데친 문어",1,20648
2026-01~08-29,2026-06-10,"EMF고덕점","데친 문어",1,8823
2026-01~08-29,2026-06-11,"EMF고덕점","데친 문어",4,50909
2026-01~08-29,2026-06-11,"EM은평점","갑오징어무침",6,49617
2026-01~08-29,2026-06-11,"EM은평점","데친 문어",101,995487
2026-01~08-29,2026-06-12,"EMF고덕점","데친 문어",2,33005
2026-01~08-29,2026-06-12,"EM은평점","갑오징어무침",7,54154
2026-01~08-29,2026-06-12,"EM은평점","데친 문어",107,1048616
2026-01~08-29,2026-06-13,"EMF고덕점","데친 문어",2,42793
2026-01~08-29,2026-06-13,"EM은평점","갑오징어무침",9,77574
2026-01~08-29,2026-06-13,"EM은평점","데친 문어",189,2083073
2026-01~08-29,2026-06-15,"EM은평점","갑오징어무침",5,40835
2026-01~08-29,2026-06-15,"EM은평점","데친 문어",78,764541
2026-01~08-29,2026-06-16,"EM은평점","갑오징어무침",7,54154
2026-01~08-29,2026-06-16,"EM은평점","데친 문어",83,797313
2026-01~08-29,2026-06-17,"EM은평점","갑오징어무침",9,65862
2026-01~08-29,2026-06-17,"EM은평점","데친 문어",67,774049
2026-01~08-29,2026-06-18,"EM신월점","데친 문어",1,8694
2026-01~08-29,2026-06-18,"EM은평점","갑오징어무침",2,14636
2026-01~08-29,2026-06-18,"EM은평점","데친 문어",64,609732
2026-01~08-29,2026-06-19,"EM신월점","데친 문어",4,34133
2026-01~08-29,2026-06-19,"EM은평점","갑오징어무침",11,80498
2026-01~08-29,2026-06-19,"EM은평점","데친 문어",92,924188
2026-01~08-29,2026-06-20,"EM신월점","데친 문어",7,65688
2026-01~08-29,2026-06-20,"EM은평점","갑오징어무침",7,56935
2026-01~08-29,2026-06-20,"EM은평점","데친 문어",171,1778897
2026-01~08-29,2026-06-21,"EM신월점","데친 문어",8,67942
2026-01~08-29,2026-06-21,"EM은평점","갑오징어무침",4,30736
2026-01~08-29,2026-06-21,"EM은평점","데친 문어",120,1162605
2026-01~08-29,2026-06-22,"EM신월점","데친 문어",5,37272
2026-01~08-29,2026-06-22,"EM은평점","갑오징어무침",5,38054
2026-01~08-29,2026-06-22,"EM은평점","데친 문어",71,663378
2026-01~08-29,2026-06-23,"EM신월점","데친 문어",3,24553
2026-01~08-29,2026-06-23,"EM은평점","갑오징어무침",4,29272
2026-01~08-29,2026-06-23,"EM은평점","데친 문어",72,708483
2026-01~08-29,2026-06-24,"EM신월점","데친 문어",2,21574
2026-01~08-29,2026-06-24,"EM은평점","갑오징어무침",5,36590
2026-01~08-29,2026-06-24,"EM은평점","데친 문어",70,779082
2026-01~08-29,2026-06-25,"EM신월점","데친 문어",5,37997
2026-01~08-29,2026-06-25,"EM은평점","갑오징어무침",5,36590
2026-01~08-29,2026-06-25,"EM은평점","데친 문어",60,646938
2026-01~08-29,2026-06-26,"EM신월점","데친 문어",5,38882
2026-01~08-29,2026-06-26,"EM은평점","갑오징어무침",7,55618
2026-01~08-29,2026-06-26,"EM은평점","데친 문어",85,811724
2026-01~08-29,2026-06-27,"EM신월점","데친 문어",8,70438
2026-01~08-29,2026-06-27,"EM은평점","갑오징어무침",5,36590
2026-01~08-29,2026-06-27,"EM은평점","데친 문어",151,1565372
2026-01~08-29,2026-06-29,"EM신월점","데친 문어",5,37354
2026-01~08-29,2026-06-30,"EM신월점","데친 문어",2,14329
2026-01~08-29,2026-07-01,"EM신월점","데친 문어",3,21495
2026-01~08-29,2026-07-02,"EM신월점","데친 문어",2,19803
2026-01~08-29,2026-07-02,"EM자양점","갑오징어무침",2,16100
2026-01~08-29,2026-07-02,"EM자양점","데친 문어",54,465291
2026-01~08-29,2026-07-03,"EMF고덕점","데친 문어",11,137421
2026-01~08-29,2026-07-03,"EM신월점","데친 문어",6,45242
2026-01~08-29,2026-07-03,"EM자양점","가자미무침",3,24150
2026-01~08-29,2026-07-03,"EM자양점","갑오징어무침",2,14636
2026-01~08-29,2026-07-03,"EM자양점","데친 문어",57,533603
2026-01~08-29,2026-07-04,"EMF고덕점","데친 문어",34,363798
2026-01~08-29,2026-07-04,"EM신월점","데친 문어",9,77762
2026-01~08-29,2026-07-04,"EM자양점","가자미무침",5,40250
2026-01~08-29,2026-07-04,"EM자양점","갑오징어무침",4,28540
2026-01~08-29,2026-07-04,"EM자양점","데친 문어",71,787211
2026-01~08-29,2026-07-05,"EMF고덕점","데친 문어",37,425257
2026-01~08-29,2026-07-05,"EM신월점","데친 문어",7,61905
2026-01~08-29,2026-07-05,"EM자양점","가자미무침",3,22540
2026-01~08-29,2026-07-05,"EM자양점","갑오징어무침",1,6586
2026-01~08-29,2026-07-05,"EM자양점","데친 문어",79,791252
2026-01~08-29,2026-07-06,"EMF고덕점","데친 문어",4,40911
2026-01~08-29,2026-07-06,"EM신월점","데친 문어",4,28659
2026-01~08-29,2026-07-06,"EM자양점","가자미무침",2,13685
2026-01~08-29,2026-07-06,"EM자양점","갑오징어무침",2,14636
2026-01~08-29,2026-07-06,"EM자양점","데친 문어",37,388267
2026-01~08-29,2026-07-07,"EMF고덕점","데친 문어",5,40588
2026-01~08-29,2026-07-07,"EM신월점","데친 문어",1,7165
2026-01~08-29,2026-07-07,"EM자양점","갑오징어무침",1,6586
2026-01~08-29,2026-07-07,"EM자양점","데친 문어",34,393621
2026-01~08-29,2026-07-08,"EMF고덕점","데친 문어",3,29205
2026-01~08-29,2026-07-08,"EM자양점","갑오징어무침",2,14636
2026-01~08-29,2026-07-08,"EM자양점","데친 문어",69,801097
2026-01~08-29,2026-07-09,"EMF고덕점","데친 문어",3,24262
2026-01~08-29,2026-07-09,"EM자양점","가자미무침",5,40250
2026-01~08-29,2026-07-09,"EM자양점","갑오징어무침",3,21954
2026-01~08-29,2026-07-09,"EM자양점","데친 문어",96,947156
2026-01~08-29,2026-07-10,"EMF고덕점","데친 문어",10,86695
2026-01~08-29,2026-07-10,"EM신월점","데친 문어",1,11109
2026-01~08-29,2026-07-10,"EM자양점","가자미무침",11,88550
2026-01~08-29,2026-07-10,"EM자양점","데친 문어",91,968488
2026-01~08-29,2026-07-11,"EMF고덕점","데친 문어",40,419146
2026-01~08-29,2026-07-11,"EM신월점","데친 문어",1,11109
2026-01~08-29,2026-07-11,"EM자양점","가자미무침",40,322000
2026-01~08-29,2026-07-11,"EM자양점","데친 문어",192,2033599
2026-01~08-29,2026-07-13,"EMF고덕점","데친 문어",8,94459
2026-01~08-29,2026-07-13,"EM자양점","가자미무침",8,74060
2026-01~08-29,2026-07-13,"EM자양점","갑오징어무침",3,21954
2026-01~08-29,2026-07-13,"EM자양점","데친 문어",78,778743
2026-01~08-29,2026-07-14,"EMF고덕점","데친 문어",3,33939
2026-01~08-29,2026-07-14,"EM자양점","가자미무침",21,172270
2026-01~08-29,2026-07-14,"EM자양점","갑오징어무침",5,36590
2026-01~08-29,2026-07-14,"EM자양점","데친 문어",92,990504
2026-01~08-29,2026-07-15,"EMF고덕점","데친 문어",9,87548
2026-01~08-29,2026-07-15,"EM자양점","가자미무침",6,53130
2026-01~08-29,2026-07-15,"EM자양점","갑오징어무침",5,39518
2026-01~08-29,2026-07-15,"EM자양점","데친 문어",75,748009
2026-01~08-29,2026-07-16,"EMF고덕점","데친 문어",7,81206
2026-01~08-29,2026-07-16,"EM자양점","가자미무침",16,127995
2026-01~08-29,2026-07-16,"EM자양점","갑오징어무침",3,21954
2026-01~08-29,2026-07-16,"EM자양점","데친 문어",86,902196
2026-01~08-29,2026-07-17,"EMF고덕점","데친 문어",26,271381
2026-01~08-29,2026-07-17,"EM자양점","가자미무침",20,161000
2026-01~08-29,2026-07-17,"EM자양점","갑오징어무침",8,61471
2026-01~08-29,2026-07-17,"EM자양점","데친 문어",177,1795061
2026-01~08-29,2026-07-18,"EMF고덕점","데친 문어",53,493951
2026-01~08-29,2026-07-18,"EM자양점","가자미무침",14,115920
2026-01~08-29,2026-07-18,"EM자양점","갑오징어무침",7,51226
2026-01~08-29,2026-07-18,"EM자양점","데친 문어",176,1894100
2026-01~08-29,2026-07-19,"EMF고덕점","데친 문어",31,321602
2026-01~08-29,2026-07-19,"EM자양점","가자미무침",19,145705
2026-01~08-29,2026-07-19,"EM자양점","갑오징어무침",5,40835
2026-01~08-29,2026-07-19,"EM자양점","데친 문어",99,1077090
2026-01~08-29,2026-07-20,"EMF고덕점","데친 문어",6,72852
2026-01~08-29,2026-07-21,"EMF고덕점","데친 문어",3,28577
2026-01~08-29,2026-07-22,"EMF고덕점","데친 문어",1,19280
2026-01~08-29,2026-07-23,"EM목동점","가자미무침",13,114310
2026-01~08-29,2026-07-23,"EM목동점","갑오징어무침",3,21222
2026-01~08-29,2026-07-23,"EM목동점","데친 문어",92,1065829
2026-01~08-29,2026-07-24,"EMF고덕점","데친 문어",7,76346
2026-01~08-29,2026-07-24,"EM목동점","가자미무침",10,80500
2026-01~08-29,2026-07-24,"EM목동점","갑오징어무침",2,14636
2026-01~08-29,2026-07-24,"EM목동점","데친 문어",110,1161786
2026-01~08-29,2026-07-25,"EMF고덕점","데친 문어",36,408745
2026-01~08-29,2026-07-25,"EM목동점","가자미무침",16,138460
2026-01~08-29,2026-07-25,"EM목동점","갑오징어무침",7,54154
2026-01~08-29,2026-07-25,"EM목동점","데친 문어",273,2813364
2026-01~08-29,2026-07-27,"EMF고덕점","데친 문어",6,75662
2026-01~08-29,2026-07-27,"EM목동점","가자미무침",8,65205
2026-01~08-29,2026-07-27,"EM목동점","갑오징어무침",2,14636
2026-01~08-29,2026-07-27,"EM목동점","데친 문어",93,1091049
2026-01~08-29,2026-07-28,"EMF고덕점","데친 문어",9,113328
2026-01~08-29,2026-07-28,"EM목동점","가자미무침",14,114310
2026-01~08-29,2026-07-28,"EM목동점","갑오징어무침",2,14636
2026-01~08-29,2026-07-28,"EM목동점","데친 문어",104,1094462
2026-01~08-29,2026-07-29,"EMF고덕점","데친 문어",2,21196
2026-01~08-29,2026-07-29,"EM목동점","가자미무침",6,48300
2026-01~08-29,2026-07-29,"EM목동점","갑오징어무침",3,21954
2026-01~08-29,2026-07-29,"EM목동점","데친 문어",89,886323
2026-01~08-29,2026-07-30,"EMF고덕점","데친 문어",4,48123
2026-01~08-29,2026-07-30,"EM목동점","가자미무침",13,103040
2026-01~08-29,2026-07-30,"EM목동점","갑오징어무침",1,7318
2026-01~08-29,2026-07-30,"EM목동점","데친 문어",121,1439887
2026-01~08-29,2026-07-31,"EMF고덕점","데친 문어",6,108980
2026-01~08-29,2026-07-31,"EM목동점","가자미무침",14,109480
2026-01~08-29,2026-07-31,"EM목동점","갑오징어무침",5,36590
2026-01~08-29,2026-07-31,"EM목동점","데친 문어",153,1598780
2026-01~08-29,2026-08-01,"EMF고덕점","데친 문어",20,269118
2026-01~08-29,2026-08-01,"EM목동점","가자미무침",16,128800
2026-01~08-29,2026-08-01,"EM목동점","갑오징어무침",6,43908
2026-01~08-29,2026-08-01,"EM목동점","데친 문어",238,2435070
2026-01~08-29,2026-08-02,"EMF고덕점","데친 문어",32,301307
2026-01~08-29,2026-08-02,"EM목동점","가자미무침",22,180320
2026-01~08-29,2026-08-02,"EM목동점","갑오징어무침",5,36590
2026-01~08-29,2026-08-02,"EM목동점","데친 문어",185,1816959
2026-01~08-29,2026-08-03,"EMF고덕점","데친 문어",1,9636
2026-01~08-29,2026-08-03,"EM목동점","가자미무침",6,49910
2026-01~08-29,2026-08-03,"EM목동점","갑오징어무침",4,30736
2026-01~08-29,2026-08-03,"EM목동점","데친 문어",84,796653
2026-01~08-29,2026-08-04,"EMF고덕점","데친 문어",2,18370
2026-01~08-29,2026-08-04,"EM목동점","가자미무침",19,152145
2026-01~08-29,2026-08-04,"EM목동점","갑오징어무침",4,29272
2026-01~08-29,2026-08-04,"EM목동점","데친 문어",88,884695
2026-01~08-29,2026-08-05,"EMF고덕점","데친 문어",2,42013
2026-01~08-29,2026-08-05,"EM목동점","가자미무침",9,72450
2026-01~08-29,2026-08-05,"EM목동점","갑오징어무침",5,38054
2026-01~08-29,2026-08-05,"EM목동점","데친 문어",66,675518
2026-01~08-29,2026-08-06,"EMF고덕점","데친 문어",2,38028
2026-01~08-29,2026-08-06,"EM목동점","가자미무침",16,126385
2026-01~08-29,2026-08-06,"EM목동점","갑오징어무침",1,7318
2026-01~08-29,2026-08-06,"EM목동점","데친 문어",84,942832
2026-01~08-29,2026-08-07,"EMF고덕점","데친 문어",5,76265
2026-01~08-29,2026-08-07,"EM목동점","가자미무침",21,172270
2026-01~08-29,2026-08-07,"EM목동점","갑오징어무침",3,21954
2026-01~08-29,2026-08-07,"EM목동점","데친 문어",120,1300728
2026-01~08-29,2026-08-08,"EMF고덕점","데친 문어",34,333030
2026-01~08-29,2026-08-08,"EM목동점","가자미무침",28,224595
2026-01~08-29,2026-08-08,"EM목동점","갑오징어무침",5,36590
2026-01~08-29,2026-08-08,"EM목동점","데친 문어",196,2004130
2026-01~08-29,2026-08-10,"EMF고덕점","데친 문어",8,112595
2026-01~08-29,2026-08-11,"EMF고덕점","데친 문어",4,56592
2026-01~08-29,2026-08-12,"EMF고덕점","데친 문어",2,37738
2026-01~08-29,2026-08-13,"EMF고덕점","데친 문어",2,23554
2026-01~08-29,2026-08-13,"EM은평점","가자미무침",9,71645
2026-01~08-29,2026-08-13,"EM은평점","갑오징어무침",5,36590
2026-01~08-29,2026-08-13,"EM은평점","데친 문어",83,1008456
2026-01~08-29,2026-08-14,"EMF고덕점","데친 문어",15,166158
2026-01~08-29,2026-08-14,"EM은평점","가자미무침",8,89355
2026-01~08-29,2026-08-14,"EM은평점","갑오징어무침",6,43909
2026-01~08-29,2026-08-14,"EM은평점","데친 문어",125,1295085
2026-01~08-29,2026-08-15,"EMF고덕점","데친 문어",54,485026
2026-01~08-29,2026-08-15,"EM은평점","가자미무침",17,136045
2026-01~08-29,2026-08-15,"EM은평점","갑오징어무침",4,29272
2026-01~08-29,2026-08-15,"EM은평점","데친 문어",130,1487255
2026-01~08-29,2026-08-16,"EMF고덕점","데친 문어",43,383588
2026-01~08-29,2026-08-16,"EM은평점","가자미무침",14,112700
2026-01~08-29,2026-08-16,"EM은평점","갑오징어무침",5,36590
2026-01~08-29,2026-08-16,"EM은평점","데친 문어",155,1593529
2026-01~08-29,2026-08-17,"EMF고덕점","데친 문어",24,201642
2026-01~08-29,2026-08-17,"EM은평점","가자미무침",10,78890
2026-01~08-29,2026-08-17,"EM은평점","갑오징어무침",4,29272
2026-01~08-29,2026-08-17,"EM은평점","데친 문어",112,1111504
2026-01~08-29,2026-08-18,"EMF고덕점","데친 문어",7,55867
2026-01~08-29,2026-08-18,"EM은평점","가자미무침",8,62790
2026-01~08-29,2026-08-18,"EM은평점","갑오징어무침",2,13172
2026-01~08-29,2026-08-18,"EM은평점","데친 문어",34,315383
2026-01~08-29,2026-08-19,"EMF고덕점","데친 문어",2,42142
2026-01~08-29,2026-08-19,"EM은평점","가자미무침",9,72450
2026-01~08-29,2026-08-19,"EM은평점","데친 문어",66,652855
2026-01~08-29,2026-08-20,"EMF고덕점","데친 문어",1,21574
2026-01~08-29,2026-08-20,"EM은평점","가자미무침",10,78890
2026-01~08-29,2026-08-20,"EM은평점","갑오징어무침",3,21954
2026-01~08-29,2026-08-20,"EM은평점","데친 문어",37,318780
2026-01~08-29,2026-08-21,"EMF고덕점","데친 문어",1,18579
2026-01~08-29,2026-08-21,"EM은평점","가자미무침",9,72450
2026-01~08-29,2026-08-21,"EM은평점","데친 문어",75,670380
2026-01~08-29,2026-08-22,"EMF고덕점","데친 문어",17,132504
2026-01~08-29,2026-08-22,"EM은평점","가자미무침",16,127190
2026-01~08-29,2026-08-22,"EM은평점","갑오징어무침",3,21954
2026-01~08-29,2026-08-22,"EM은평점","데친 문어",115,1100338
2026-01~08-29,2026-08-24,"EMF고덕점","데친 문어",1,11359
2026-01~08-29,2026-08-24,"EM은평점","가자미무침",9,71645
2026-01~08-29,2026-08-24,"EM은평점","데친 문어",80,692300
2026-01~08-29,2026-08-25,"EMF고덕점","데친 문어",2,34084
2026-01~08-29,2026-08-25,"EM은평점","가자미무침",7,56350
2026-01~08-29,2026-08-25,"EM은평점","갑오징어무침",2,14636
2026-01~08-29,2026-08-25,"EM은평점","데친 문어",60,526156
2026-01~08-29,2026-08-26,"EMF고덕점","데친 문어",3,46022
2026-01~08-29,2026-08-26,"EM은평점","가자미무침",8,63595
2026-01~08-29,2026-08-26,"EM은평점","데친 문어",61,658088
2026-01~08-29,2026-08-27,"EMF고덕점","데친 문어",3,59900
2026-01~08-29,2026-08-27,"EM은평점","가자미무침",5,40250
2026-01~08-29,2026-08-27,"EM은평점","갑오징어무침",1,7318
2026-01~08-29,2026-08-27,"EM은평점","데친 문어",52,478106
2026-01~08-29,2026-08-28,"EMF고덕점","데친 문어",1,20342
2026-01~08-29,2026-08-28,"EM은평점","가자미무침",7,56350
2026-01~08-29,2026-08-28,"EM은평점","갑오징어무침",3,21954
2026-01~08-29,2026-08-28,"EM은평점","데친 문어",66,665735
2026-01~08-29,2026-08-29,"EMF고덕점","데친 문어",24,260514
2026-01~08-29,2026-08-29,"EM은평점","가자미무침",10,80500
2026-01~08-29,2026-08-29,"EM은평점","갑오징어무침",1,7318
2026-01~08-29,2026-08-29,"EM은평점","데친 문어",142,1389430
